Item Name, Type,Price USD
USP-S | Forest Leaves,sale,0.1
USP-S | Black Lotus,sale,0.4
UMP-45 | Gunsmoke,sale,0.07
UMP-45 | Facility Dark,purchase,0.08
UMP-45 | Carbon Fiber,sale,0.25
Tec-9 | Urban DDPAT,purchase,0.1
Tec-9 | Sandstorm,sale,0.12
Tec-9 | Sandstorm,purchase,1.5
Tec-9 | Red Quartz,purchase,2.3000000000000003
Tec-9 | Red Quartz,sale,1.6199999999999999
Tec-9 | Isaac,sale,2.6100000000000003
Tec-9 | Groundwater,sale,0.02
Tec-9 | Brother,sale,0.69
Stockholm 2021 Nuke Souvenir Package,sale,5.2
Stockholm 2021 Champions Autograph Capsule,sale,58.089999999999996
Stockholm 2021 Ancient Souvenir Package,sale,2.8
"Sticker | ropz (Glitter, Champion) | Antwerp 2022",sale,0.04
Sticker | electroNic (Holo) | Stockholm 2021,sale,0.05
Sticker | Vitality (Holo) | Paris 2023,sale,5.8999999999999995
Sticker | Vitality (Holo) | Paris 2023,purchase,32.31
Sticker | Vitality (Glitter) | Antwerp 2022,sale,0.05
"Sticker | Twistzz (Gold, Champion) | Antwerp 2022",sale,7.0
Sticker | Team Liquid (Holo) | Paris 2023,sale,5.67
Sticker | Team Liquid (Holo) | Paris 2023,purchase,25.89
Sticker | Spirit (Holo) | 2020 RMR,sale,2.0
Sticker | PGL | Antwerp 2022,sale,0.01
Sticker | Outsiders (Holo) | Rio 2022,sale,10.36
Sticker | Outsiders (Holo) | Rio 2022,purchase,49.56
Sticker | GODSENT | 2020 RMR,sale,0.03
Sticker | G2 | 2020 RMR,sale,0.03
Sticker | G2 Esports | Antwerp 2022,sale,0.01
Sticker | G2 Esports (Glitter) | Antwerp 2022,sale,0.25
Sticker | G2 (Holo) | 2020 RMR,sale,0.15
Sticker | FaZe Clan (Holo) | Paris 2023,sale,6.949999999999999
Sticker | FaZe Clan (Holo) | Paris 2023,purchase,12.79
Sticker | FaZe Clan (Glitter) | Antwerp 2022,sale,0.18
Sticker | ENCE | Antwerp 2022,sale,0.01
Sticker | ENCE (Glitter) | Antwerp 2022,sale,0.04
Sticker | Copenhagen Flames (Holo) | Stockholm 2021,purchase,4.85
Sticker | Cloud9 | Antwerp 2022,sale,0.04
Sticker | Bad News Eagles (Glitter) | Antwerp 2022,sale,0.1
Sticker | Astralis (Holo) | 2020 RMR,sale,0.32
"StatTrak™ Music Kit | Meechy Darko, Gothic Luxury",purchase,3.54
StatTrak™ M4A4 | Magnesium,sale,3.66
StatTrak™ Dual Berettas | Elite 1.6,sale,0.15
StatTrak™ AUG | Triqua,sale,0.09
Spectrum 2 Case,sale,0.16
Spectrum 2 Case,purchase,0.66
Snakebite Case,sale,49.529999999999994
Snakebite Case,purchase,32.0
Sir Bloody Silent Darryl | The Professionals,sale,3.3
Sir Bloody Miami Darryl | The Professionals,sale,11.05
Sealed Graffiti | Toasted (Monster Purple),sale,0.01
Sealed Graffiti | Take Flight (Frog Green),sale,0.01
Sealed Graffiti | Sorry (Brick Red),sale,0.01
Sealed Graffiti | Sheriff (Wire Blue),sale,0.01
Sealed Graffiti | Quickdraw (Shark White),sale,0.01
Sealed Graffiti | Popdog (Monster Purple),sale,0.01
Sealed Graffiti | Popdog (Frog Green),sale,0.01
Sealed Graffiti | Piggles (Princess Pink),sale,0.01
Sealed Graffiti | NaCl (Shark White),sale,0.02
Sealed Graffiti | Karambit (Wire Blue),sale,0.01
Sealed Graffiti | Karambit (War Pig Pink),sale,0.01
Sealed Graffiti | Karambit (SWAT Blue),sale,0.01
Sealed Graffiti | Karambit (Frog Green),sale,0.01
Sealed Graffiti | Jump Shot (Cash Green),sale,0.01
Sealed Graffiti | Death Sentence (Princess Pink),sale,0.01
Sealed Graffiti | Death Sentence (Monster Purple),sale,0.01
Sealed Graffiti | Cocky (War Pig Pink),sale,0.01
Sealed Graffiti | Cocky (Frog Green),sale,0.01
Sawed-Off | Snake Camo,sale,0.09
Safecracker Voltzmann | The Professionals,purchase,90.76
SSG 08 | Hand Brake,sale,0.93
SSG 08 | Blue Spruce,sale,0.02
SG 553 | Army Sheen,purchase,0.14
SCAR-20 | Magna Carta,sale,12.15
SCAR-20 | Contractor,sale,0.02
Rio 2022 Mirage Souvenir Package,sale,8.64
Rio 2022 Legends Sticker Capsule,purchase,5.6000000000000005
Rio 2022 Legends Sticker Capsule,sale,66.24
Rio 2022 Dust II Souvenir Package,purchase,184.79999999999998
Rio 2022 Dust II Souvenir Package,sale,435.97
Rio 2022 Contenders Sticker Capsule,sale,51.5
Rio 2022 Champions Autograph Capsule,sale,34.92
Rio 2022 Challengers Sticker Capsule,sale,42.2
Revolution Case,sale,7.53
Revolution Case,purchase,1.15
Recoil Case,sale,156.81
Recoil Case,purchase,119.78
R8 Revolver | Crazy 8,sale,2.0
Prisma Case,sale,8.24
Prisma 2 Case,sale,19.790000000000003
PP-Bizon | Urban Dashed,sale,0.02
P90 | Verdant Growth,sale,2.09
P90 | Teardown,sale,0.8700000000000001
P90 | Sand Spray,sale,0.01
P90 | Nostalgia,sale,3.95
P90 | Module,sale,1.65
P250 | Metallic DDPAT,sale,0.3
P250 | Facility Draft,sale,0.01
P2000 | Urban Hazard,purchase,0.7000000000000001
P2000 | Urban Hazard,sale,0.06
P2000 | Lifted Spirits,sale,0.08
Operation Riptide Case,sale,14.42
Operation Broken Fang Premium Pass,sale,14.0
Operation Broken Fang Case,sale,7.62
Operation Breakout Weapon Case,purchase,6.55
Nova | Wild Six,sale,0.25
Nova | Caged Steel,sale,0.17
Nova | Army Sheen,sale,0.08
MP9 | Orange Peel,sale,0.11
MP7 | Vault Heist,sale,0.45
MP7 | Prey,sale,0.1
MP7 | Powercore,sale,1.14
MP7 | Army Recon,sale,0.01
MP7 | Anodized Navy,sale,0.89
MP5-SD | Nitro,sale,1.69
MP5-SD | Co-Processor,sale,0.33
MAG-7 | Popdog,sale,0.05
MAG-7 | Carbon Fiber,sale,1.82
MAC-10 | Tatter,sale,6.9
MAC-10 | Palm,sale,0.08
MAC-10 | Monkeyflage,sale,0.07
MAC-10 | Classic Crate,sale,0.08
MAC-10 | Candy Apple,sale,0.11
MAC-10 | Allure,sale,1.2
M4A4 | Urban DDPAT,sale,0.12
M4A1-S | Hyper Beast,sale,34.5
M4A1-S | Decimator,sale,8.6
M249 | Midnight Palm,sale,0.23
Kilowatt Case,sale,11.53
Huntsman Weapon Case,purchase,18.28
Horizon Case,sale,0.12
Glove Case,sale,0.04
Glock-18 | Off World,sale,0.08
Glock-18 | Moonrise,sale,0.4
Gamma 2 Case,sale,0.01
Gallery Case,sale,34.8
G3SG1 | Green Apple,sale,0.12
G3SG1 | Desert Storm,sale,0.13
Fracture Case,sale,59.08
Fracture Case,purchase,38.42
FAMAS | Sergeant,sale,0.85
FAMAS | CaliCamo,sale,3.41
Dual Berettas | Stained,sale,0.08
Dual Berettas | Drift Wood,sale,1.31
Dreams & Nightmares Case,purchase,363.40999999999997
Dreams & Nightmares Case,sale,433.05
Desert Eagle | Mudder,sale,0.08
Danger Zone Case,sale,52.440000000000005
Danger Zone Case,purchase,29.900000000000002
Clutch Case,sale,22.35
